Gene	Start	End
CD31_CCL21	34709001	34710147
CD31_DLL4	41221530	41231258
CD31_JAG1	10618331	10654694
CD31_NOTCH4	32162079	32191844
CD31_TGFB1	41836811	41859831
CD4_CCR4	32993065	32996403
CD4_CCR7	38710021	38721736
CD4_CD40LG	135730335	135742549
CD4_DLL4	41221530	41231258
CD4_FASLG	172628184	172636012
CD4_NOTCH1	139388895	139440238
CD4_TGFB1	41836811	41859831
CD4_NOTCH4	32162079	32191844
CD8_CCR4	32993065	32996403
CD8_CCR7	38710021	38721736
CD8_DLL4	41221530	41231258
CD8_FASLG	172628184	172636012
CD8_NOTCH1	139388895	139440238
CD8_NOTCH4	32162079	32191844
CD8_TGFB1	41836811	41859831
DC_CCL22	57392694	57400102
DC_CD40	44746905	44758384
DC_FAS	90750287	90775542
DC_ITGB6	160958232	161056590
Fib_CCL21	34709001	34710147
Fib_JAG1	10618331	10654694
Fib_NOTCH4	32162079	32191844
Mac_CCL21	34709001	34710147
Mac_DLL4	41221530	41231258
Mac_JAG1	10618331	10654694
Mac_NOTCH4	32162079	32191844
Mac_TGFB1	41836811	41859831
